"body_mass_value","migration_strategy","population"
833.99,"for_strat_wataroundsurf",0
833.99,"for_strat_ground",0
833.99,"for_strat_understory",0
833.99,"for_strat_midhigh",50
833.99,"for_strat_canopy",50
833.99,"for_strat_aerial",0
760,"for_strat_watbelowsurf",0
760,"for_strat_wataroundsurf",0
760,"for_strat_ground",0
760,"for_strat_understory",0
760,"for_strat_midhigh",50
760,"for_strat_canopy",50
760,"for_strat_aerial",0
539,"for_strat_watbelowsurf",0
539,"for_strat_wataroundsurf",0
539,"for_strat_ground",20
539,"for_strat_understory",0
539,"for_strat_midhigh",40
539,"for_strat_canopy",40
539,"for_strat_aerial",0
495.82,"for_strat_watbelowsurf",0
495.82,"for_strat_wataroundsurf",0
495.82,"for_strat_ground",10
495.82,"for_strat_understory",10
495.82,"for_strat_midhigh",80
495.82,"for_strat_canopy",0
495.82,"for_strat_aerial",0
547.72,"for_strat_watbelowsurf",0
547.72,"for_strat_wataroundsurf",0
547.72,"for_strat_ground",0
547.72,"for_strat_understory",0
547.72,"for_strat_midhigh",50
547.72,"for_strat_canopy",50
547.72,"for_strat_aerial",0
520,"for_strat_watbelowsurf",0
520,"for_strat_wataroundsurf",0
520,"for_strat_ground",33
520,"for_strat_understory",0
520,"for_strat_midhigh",33
520,"for_strat_canopy",33
520,"for_strat_aerial",0
578.6,"for_strat_watbelowsurf",0
578.6,"for_strat_wataroundsurf",0
578.6,"for_strat_ground",20
578.6,"for_strat_understory",0
578.6,"for_strat_midhigh",40
578.6,"for_strat_canopy",40
578.6,"for_strat_aerial",0
806.71,"for_strat_watbelowsurf",0
806.71,"for_strat_wataroundsurf",0
806.71,"for_strat_ground",20
806.71,"for_strat_understory",0
806.71,"for_strat_midhigh",40
806.71,"for_strat_canopy",40
806.71,"for_strat_aerial",0
1179.66,"for_strat_watbelowsurf",0
1179.66,"for_strat_wataroundsurf",0
1179.66,"for_strat_ground",33
1179.66,"for_strat_understory",0
1179.66,"for_strat_midhigh",33
1179.66,"for_strat_canopy",33
1179.66,"for_strat_aerial",0
1179.66,"for_strat_watbelowsurf",0
1179.66,"for_strat_wataroundsurf",0
1179.66,"for_strat_ground",20
1179.66,"for_strat_understory",0
1179.66,"for_strat_midhigh",50
1179.66,"for_strat_canopy",30
1179.66,"for_strat_aerial",0
706,"for_strat_watbelowsurf",0
706,"for_strat_wataroundsurf",0
706,"for_strat_ground",0
706,"for_strat_understory",0
706,"for_strat_midhigh",100
706,"for_strat_canopy",0
706,"for_strat_aerial",0
879.67,"for_strat_watbelowsurf",0
879.67,"for_strat_wataroundsurf",0
879.67,"for_strat_ground",20
879.67,"for_strat_understory",0
879.67,"for_strat_midhigh",40
879.67,"for_strat_canopy",40
879.67,"for_strat_aerial",0
894.99,"for_strat_watbelowsurf",0
894.99,"for_strat_wataroundsurf",0
894.99,"for_strat_ground",33
894.99,"for_strat_understory",0
894.99,"for_strat_midhigh",33
894.99,"for_strat_canopy",33
894.99,"for_strat_aerial",0
1230,"for_strat_watbelowsurf",0
1230,"for_strat_wataroundsurf",0
1230,"for_strat_ground",0
1230,"for_strat_understory",0
1230,"for_strat_midhigh",70
1230,"for_strat_canopy",30
1230,"for_strat_aerial",0
2060,"for_strat_watbelowsurf",0
2060,"for_strat_wataroundsurf",0
2060,"for_strat_ground",20
2060,"for_strat_understory",0
2060,"for_strat_midhigh",40
2060,"for_strat_canopy",40
2060,"for_strat_aerial",0
1179.66,"for_strat_watbelowsurf",0
1179.66,"for_strat_wataroundsurf",0
1179.66,"for_strat_ground",0
1179.66,"for_strat_understory",0
1179.66,"for_strat_midhigh",80
1179.66,"for_strat_canopy",20
1179.66,"for_strat_aerial",0
1750,"for_strat_watbelowsurf",0
1750,"for_strat_wataroundsurf",0
1750,"for_strat_ground",0
1750,"for_strat_understory",0
1750,"for_strat_midhigh",50
1750,"for_strat_canopy",50
1750,"for_strat_aerial",0
1487.9,"for_strat_watbelowsurf",0
1487.9,"for_strat_wataroundsurf",0
1487.9,"for_strat_ground",0
1487.9,"for_strat_understory",0
1487.9,"for_strat_midhigh",60
1487.9,"for_strat_canopy",40
1487.9,"for_strat_aerial",0
1770,"for_strat_watbelowsurf",0
1770,"for_strat_wataroundsurf",0
1770,"for_strat_ground",30
1770,"for_strat_understory",30
1770,"for_strat_midhigh",30
1770,"for_strat_canopy",10
1770,"for_strat_aerial",0
1249.79,"for_strat_watbelowsurf",0
1249.79,"for_strat_wataroundsurf",0
1249.79,"for_strat_ground",20
1249.79,"for_strat_understory",0
1249.79,"for_strat_midhigh",50
1249.79,"for_strat_canopy",30
1249.79,"for_strat_aerial",0
1179.66,"for_strat_watbelowsurf",0
1179.66,"for_strat_wataroundsurf",0
1179.66,"for_strat_ground",20
1179.66,"for_strat_understory",0
1179.66,"for_strat_midhigh",50
1179.66,"for_strat_canopy",30
1179.66,"for_strat_aerial",0
1282,"for_strat_watbelowsurf",0
1282,"for_strat_wataroundsurf",0
1282,"for_strat_ground",20
1282,"for_strat_understory",0
1282,"for_strat_midhigh",40
1282,"for_strat_canopy",40
1282,"for_strat_aerial",0
1816.59,"for_strat_watbelowsurf",0
1816.59,"for_strat_wataroundsurf",0
1816.59,"for_strat_ground",0
1816.59,"for_strat_understory",0
1816.59,"for_strat_midhigh",50
1816.59,"for_strat_canopy",50
1816.59,"for_strat_aerial",0
1239.22,"for_strat_watbelowsurf",0
1239.22,"for_strat_wataroundsurf",0
1239.22,"for_strat_ground",0
1239.22,"for_strat_understory",0
1239.22,"for_strat_midhigh",30
1239.22,"for_strat_canopy",70
1239.22,"for_strat_aerial",0
1195.82,"for_strat_watbelowsurf",0
1195.82,"for_strat_wataroundsurf",0
1195.82,"for_strat_ground",20
1195.82,"for_strat_understory",0
1195.82,"for_strat_midhigh",40
1195.82,"for_strat_canopy",40
1195.82,"for_strat_aerial",0
1240.96,"for_strat_watbelowsurf",0
1240.96,"for_strat_wataroundsurf",0
1240.96,"for_strat_ground",20
1240.96,"for_strat_understory",0
1240.96,"for_strat_midhigh",40
1240.96,"for_strat_canopy",40
1240.96,"for_strat_aerial",0
1405.08,"for_strat_watbelowsurf",0
1405.08,"for_strat_wataroundsurf",0
1405.08,"for_strat_ground",0
1405.08,"for_strat_understory",0
1405.08,"for_strat_midhigh",100
1405.08,"for_strat_canopy",0
1405.08,"for_strat_aerial",0
1135,"for_strat_watbelowsurf",0
1135,"for_strat_wataroundsurf",0
1135,"for_strat_ground",20
1135,"for_strat_understory",0
1135,"for_strat_midhigh",40
1135,"for_strat_canopy",40
1135,"for_strat_aerial",0
727.67,"for_strat_watbelowsurf",0
727.67,"for_strat_wataroundsurf",0
727.67,"for_strat_ground",20
727.67,"for_strat_understory",0
727.67,"for_strat_midhigh",40
727.67,"for_strat_canopy",40
727.67,"for_strat_aerial",0
889.99,"for_strat_watbelowsurf",0
889.99,"for_strat_wataroundsurf",0
889.99,"for_strat_ground",20
889.99,"for_strat_understory",0
889.99,"for_strat_midhigh",40
889.99,"for_strat_canopy",40
889.99,"for_strat_aerial",0
2071.54,"for_strat_watbelowsurf",0
2071.54,"for_strat_wataroundsurf",0
2071.54,"for_strat_ground",20
2071.54,"for_strat_understory",0
