"ioc_order","bl_family_english","scientific","english","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant_o","diet_5cat","for_strat_watbelowsurf","for_strat_wataroundsurf","for_strat_ground","for_strat_understory","for_strat_midhigh","for_strat_canopy","for_strat_aerial","nocturnal","body_mass_value"
"Passeriformes","Tanagers","Anisognathus lacrymosus","Lacrimose Mountain-tanager",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,60,30,10,0,0,31
"Passeriformes","Tanagers","Anisognathus igniventris","Scarlet-bellied Mountain-tanager",10,0,0,0,0,0,50,0,20,20,"Omnivore",0,0,0,20,50,30,0,0,34
"Passeriformes","Tanagers","Anisognathus somptuosus","Blue-winged Mountain-tanager",10,0,0,0,0,0,50,0,40,0,"Omnivore",0,0,0,30,50,20,0,0,44
"Passeriformes","Tanagers","Anisognathus notabilis","Black-chinned Mountain-tanager",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,20,70,10,0,0,39
"Passeriformes","Tanagers","Stephanophorus diadematus","Diademed Tanager",20,0,0,0,0,0,50,0,0,30,"Omnivore",0,0,0,30,70,0,0,0,35.4
"Passeriformes","Tanagers","Iridosornis porphyrocephalus","Purplish-mantled Tanager",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,20,80,0,0,0,23.25
"Passeriformes","Tanagers","Iridosornis analis","Yellow-throated Tanager",40,0,0,0,0,0,30,0,30,0,"Omnivore",0,0,0,60,20,20,0,0,26
"Passeriformes","Tanagers","Iridosornis jelskii","Golden-collared Tanager",30,0,0,0,0,0,50,0,20,0,"Omnivore",0,0,0,60,40,0,0,0,20
"Passeriformes","Tanagers","Iridosornis rufivertex","Golden-crowned Tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,60,40,0,0,0,23
"Passeriformes","Tanagers","Iridosornis reinhardti","Yellow-scarfed Tanager",20,0,0,0,0,0,40,0,40,0,"Omnivore",0,0,0,50,50,0,0,0,24
"Passeriformes","Tanagers","Dubusia taeniata","Buff-breasted Mountain-tanager",30,0,0,0,0,0,40,0,30,0,"Omnivore",0,0,0,80,20,0,0,0,37
"Passeriformes","Tanagers","Delothraupis castaneoventris","Chestnut-bellied Mountain-tanager",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,20,50,30,0,0,28
"Passeriformes","Tanagers","Pipraeidea melanonota","Fawn-breasted Tanager",30,0,0,0,0,0,50,0,20,0,"Omnivore",0,0,0,10,20,60,10,0,21
"Passeriformes","Tanagers","Euphonia jamaica","Jamaican Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,0,100,0,0,16.6
"Passeriformes","Tanagers","Euphonia plumbea","Plumbeous Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,30,40,30,0,0,8.9
"Passeriformes","Tanagers","Euphonia affinis","Scrub Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,40,40,20,0,0,10
"Passeriformes","Tanagers","Euphonia luteicapilla","Yellow-crowned Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,30,70,0,0,13
"Passeriformes","Tanagers","Euphonia chlorotica","Purple-throated Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,10,90,0,0,11
"Passeriformes","Tanagers","Euphonia trinitatis","Trinidad Euphonia",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,20,40,40,0,0,11
"Passeriformes","Tanagers","Euphonia concinna","Velvet-fronted Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,50,50,0,0,10.3
"Passeriformes","Tanagers","Euphonia saturata","Orange-crowned Euphonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,0,70,30,0,0,13.26
"Passeriformes","Tanagers","Euphonia finschi","Finsch's Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,50,50,0,0,10.48
"Passeriformes","Tanagers","Euphonia violacea","Violaceous Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,30,40,30,0,0,15
"Passeriformes","Tanagers","Euphonia laniirostris","Thick-billed Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,70,30,0,0,15
"Passeriformes","Tanagers","Euphonia hirundinacea","Yellow-throated Euphonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,0,70,30,0,0,14
"Passeriformes","Tanagers","Euphonia chalybea","Green-throated Euphonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,19
"Passeriformes","Tanagers","Euphonia elegantissima","Blue-rumped Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,40,60,0,0,15
"Passeriformes","Tanagers","Euphonia musica","Antillean Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,70,30,0,0,14.66
"Passeriformes","Tanagers","Euphonia cyanocephala","Golden-rumped Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,20,40,40,0,0,14
"Passeriformes","Tanagers","Euphonia imitans","Spot-crowned Euphonia",20,0,0,0,0,0,70,10,0,0,"FruiNect",0,0,0,20,30,50,0,0,14
"Passeriformes","Tanagers","Euphonia fulvicrissa","Fulvous-vented Euphonia",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,10,60,30,0,0,11
"Passeriformes","Tanagers","Euphonia gouldi","Olive-backed Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,10,40,50,0,0,14
"Passeriformes","Tanagers","Euphonia chrysopasta","White-lored Euphonia",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,30,70,0,0,14
"Passeriformes","Tanagers","Euphonia mesochrysa","Bronze-green Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,30,70,0,0,13
"Passeriformes","Tanagers","Euphonia minuta","White-vented Euphonia",60,0,0,0,0,0,40,0,0,0,"Invertebrate",0,0,0,0,30,70,0,0,10
"Passeriformes","Tanagers","Euphonia anneae","Tawny-capped Euphonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,30,70,0,0,0,14.9
"Passeriformes","Tanagers","Euphonia xanthogaster","Orange-bellied Euphonia",0,0,0,0,0,0,90,0,0,10,"FruiNect",0,0,0,20,60,20,0,0,13
"Passeriformes","Tanagers","Euphonia rufiventris","Rufous-bellied Euphonia",0,0,0,0,0,0,80,0,20,0,"FruiNect",0,0,0,0,60,40,0,0,14
"Passeriformes","Tanagers","Euphonia cayennensis","Golden-sided Euphonia",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,50,50,0,0,14.3
"Passeriformes","Tanagers","Euphonia pectoralis","Chestnut-bellied Euphonia",20,0,0,0,0,0,70,10,0,0,"FruiNect",0,0,0,0,30,70,0,0,14.4
"Passeriformes","Tanagers","Chlorophonia flavirostris","Yellow-collared Chlorophonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,0,70,30,0,0,11
"Passeriformes","Tanagers","Chlorophonia cyanea","Blue-naped Chlorophonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,0,20,80,0,0,14
"Passeriformes","Tanagers","Chlorophonia pyrrhophrys","Chestnut-breasted Chlorophonia",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,40,60,0,0,17
"Passeriformes","Tanagers","Chlorophonia occipitalis","Blue-crowned Chlorophonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,0,40,60,0,0,25.8
"Passeriformes","Tanagers","Chlorophonia callophrys","Golden-browed Chlorophonia",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,0,0,10,90,0,0,25.8
"Passeriformes","Tanagers","Chlorochrysa phoenicotis","Glistening-green Tanager",60,0,0,0,0,0,40,0,0,0,"Invertebrate",0,0,0,20,70,10,0,0,21.8
