"body_mass_value","diet_type","population"
1487.9,"scav",0
1487.9,"fruit",80
1487.9,"nect",0
1487.9,"seed",20
1487.9,"plant_o",0
1770,"inv",0
1770,"vend",0
1770,"vect",0
1770,"vfish",0
1770,"vunk",0
1770,"scav",0
1770,"fruit",80
1770,"nect",0
1770,"seed",0
1770,"plant_o",20
1249.79,"inv",0
1249.79,"vend",0
1249.79,"vect",0
1249.79,"vfish",0
1249.79,"vunk",0
1249.79,"scav",0
1249.79,"fruit",80
1249.79,"nect",0
1249.79,"seed",0
1249.79,"plant_o",20
1179.66,"inv",0
1179.66,"vend",0
1179.66,"vect",0
1179.66,"vfish",0
1179.66,"vunk",0
1179.66,"scav",0
1179.66,"fruit",70
1179.66,"nect",0
1179.66,"seed",0
1179.66,"plant_o",30
1282,"inv",0
1282,"vend",0
1282,"vect",0
1282,"vfish",0
1282,"vunk",0
1282,"scav",0
1282,"fruit",80
1282,"nect",0
1282,"seed",0
1282,"plant_o",20
1816.59,"inv",0
1816.59,"vend",0
1816.59,"vect",0
1816.59,"vfish",0
1816.59,"vunk",0
1816.59,"scav",0
1816.59,"fruit",100
1816.59,"nect",0
1816.59,"seed",0
1816.59,"plant_o",0
1239.22,"inv",10
1239.22,"vend",0
1239.22,"vect",0
1239.22,"vfish",0
1239.22,"vunk",0
1239.22,"scav",0
1239.22,"fruit",80
1239.22,"nect",0
1239.22,"seed",0
1239.22,"plant_o",10
1195.82,"inv",10
1195.82,"vend",0
1195.82,"vect",0
1195.82,"vfish",0
1195.82,"vunk",0
1195.82,"scav",0
1195.82,"fruit",60
1195.82,"nect",0
1195.82,"seed",20
1195.82,"plant_o",10
1240.96,"inv",10
1240.96,"vend",0
1240.96,"vect",0
1240.96,"vfish",0
1240.96,"vunk",0
1240.96,"scav",0
1240.96,"fruit",70
1240.96,"nect",0
1240.96,"seed",10
1240.96,"plant_o",10
1405.08,"inv",0
1405.08,"vend",0
1405.08,"vect",0
1405.08,"vfish",0
1405.08,"vunk",0
1405.08,"scav",0
1405.08,"fruit",100
1405.08,"nect",0
1405.08,"seed",0
1405.08,"plant_o",0
1135,"inv",0
1135,"vend",0
1135,"vect",0
1135,"vfish",0
1135,"vunk",0
1135,"scav",0
1135,"fruit",80
1135,"nect",0
1135,"seed",0
1135,"plant_o",20
727.67,"inv",0
727.67,"vend",0
727.67,"vect",0
727.67,"vfish",0
727.67,"vunk",0
727.67,"scav",0
727.67,"fruit",80
727.67,"nect",0
727.67,"seed",10
727.67,"plant_o",10
889.99,"inv",0
889.99,"vend",0
889.99,"vect",0
889.99,"vfish",0
889.99,"vunk",0
889.99,"scav",0
889.99,"fruit",100
889.99,"nect",0
889.99,"seed",0
889.99,"plant_o",0
2071.54,"inv",0
2071.54,"vend",0
2071.54,"vect",0
2071.54,"vfish",0
2071.54,"vunk",0
2071.54,"scav",0
2071.54,"fruit",50
2071.54,"nect",0
2071.54,"seed",0
2071.54,"plant_o",50
1700,"inv",0
1700,"vend",0
1700,"vect",0
1700,"vfish",0
1700,"vunk",0
1700,"scav",0
1700,"fruit",70
1700,"nect",0
1700,"seed",10
1700,"plant_o",20
2187.62,"inv",0
2187.62,"vend",0
2187.62,"vect",0
2187.62,"vfish",0
2187.62,"vunk",0
2187.62,"scav",0
2187.62,"fruit",70
2187.62,"nect",0
2187.62,"seed",20
2187.62,"plant_o",10
3100,"inv",0
3100,"vend",0
3100,"vect",0
3100,"vfish",0
3100,"vunk",0
3100,"scav",0
3100,"fruit",40
3100,"nect",0
3100,"seed",40
3100,"plant_o",20
2769.46,"inv",10
2769.46,"vend",0
2769.46,"vect",0
2769.46,"vfish",0
2769.46,"vunk",0
2769.46,"scav",0
2769.46,"fruit",70
2769.46,"nect",0
2769.46,"seed",10
2769.46,"plant_o",10
2850.47,"inv",0
2850.47,"vend",0
2850.47,"vect",0
2850.47,"vfish",0
2850.47,"vunk",0
2850.47,"scav",0
2850.47,"fruit",100
2850.47,"nect",0
2850.47,"seed",0
2850.47,"plant_o",0
3117.69,"inv",0
3117.69,"vend",0
3117.69,"vect",0
3117.69,"vfish",0
3117.69,"vunk",0
3117.69,"scav",0
3117.69,"fruit",40
3117.69,"nect",0
3117.69,"seed",40
3117.69,"plant_o",20
3743.23,"inv",0
3743.23,"vend",0
3743.23,"vect",0
3743.23,"vfish",0
3743.23,"vunk",0
3743.23,"scav",0
3743.23,"fruit",30
3743.23,"nect",0
3743.23,"seed",70
3743.23,"plant_o",0
4133,"inv",10
4133,"vend",0
4133,"vect",0
4133,"vfish",0
4133,"vunk",0
4133,"scav",0
4133,"fruit",80
4133,"nect",0
4133,"seed",0
4133,"plant_o",10
2800,"inv",0
2800,"vend",0
2800,"vect",0
2800,"vfish",0
2800,"vunk",0
2800,"scav",0
2800,"fruit",90
2800,"nect",0
2800,"seed",0
2800,"plant_o",10
2499.91,"inv",0
2499.91,"vend",0
2499.91,"vect",0
2499.91,"vfish",0
2499.91,"vunk",0
2499.91,"scav",0
2499.91,"fruit",90
2499.91,"nect",0
2499.91,"seed",0
2499.91,"plant_o",10
2872,"inv",0
2872,"vend",0
2872,"vect",0
2872,"vfish",0
2872,"vunk",0
2872,"scav",0
2872,"fruit",90
2872,"nect",0
2872,"seed",0
2872,"plant_o",10
2500,"inv",20
2500,"vend",0
2500,"vect",0
2500,"vfish",0
2500,"vunk",10
2500,"scav",0
2500,"fruit",50
2500,"nect",0
